location,block,pasture,livestock,patch,subpatch,date,plot,array,logger,TC,tempC,time,problematic
CGREC,BAR,NE,Cattle,NE,,5-15-2018,1,1,1,1,,,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,1,1,1,2,,,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,1,1,1,3,,,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,1,2,2,1,268,17:20:44.0,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,1,2,2,2,257.25,17:20:44.0,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,1,2,2,3,249.25,17:20:47.0,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,1,3,5,1,210,17:21:36.0,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,1,3,5,2,321,17:21:34.1,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,1,3,5,3,333,17:22:01.0,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,2,1,3,1,63.75,17:49:33.0,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,2,1,3,2,55.25,17:48:22.0,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,2,1,3,3,41.75,17:48:04.0,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,2,2,7,1,76.75,17:40:50.0,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,2,2,7,2,97,17:40:07.1,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,2,2,7,3,138.5,17:39:36.0,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,2,3,8,1,87,17:42:53.1,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,2,3,8,2,50.25,17:40:50.0,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,2,3,8,3,43,17:41:43.0,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,3,1,6,1,,,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,3,1,6,2,,,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,3,1,6,3,,,
CGREC,BAR,NE,Cattle,NE,,5-15-2018,3,2,9,1,458.25,16:57:10.1,
